Source: http://ncsesdata.nsf.gov/herd/2014/html/HERD2014_DST_17.html
(Dollars in thousands)																	
Rank	Institution	2005		2006		2007		2008		2009		2010		2011		2012		2013		2014
Southern Illinois U., Carbondale	57,760		75,564		65,074		67,435		66,658		69,924		71,130		71,097		70,854		65,256
U. Massachusetts, Lowell	25,745		29,383		36,117		40,873		56,664		59,345		60,013		60,624		63,136		64,591
"Georgia Regents U.									"	na		na		na		na		na		na		na		na		64,033		64,118
American U.	1,671		3,843		13,107		15,742		35,194		39,747		46,611		43,526		61,087		63,628
U. Toledo	33,002		32,745		54,342		61,082		67,464		70,399		74,149		68,228		69,072		61,900
Cleveland State U.	22,415		16,076		17,819		15,027		14,345		34,235		55,502		61,111		67,378		61,783
U. Massachusetts, Boston	19,418		22,347		37,441		38,018		47,028		56,416		57,040		60,086		60,380		61,186
Ohio U.	44,593		39,167		39,008		38,984		43,097		50,440		57,643		57,203		59,734		60,800
U. Wisconsin-Milwaukee	42,974		45,219		52,523		52,443		56,196		71,181		65,648		61,771		56,587		60,752
Colorado School of Mines	26,499		28,729		29,939		34,050		40,117		44,879		48,704		58,836		59,091		59,695
C. of William and Mary and Virginia Institute of Marine Science	57,867		60,813		59,894		63,400		59,638		57,461		58,919		55,805		57,940		59,015
Wichita State U.	53,182		37,934		53,392		60,640		75,655		51,524		63,538		61,279		61,388		58,859
South Dakota State U.	32,389		33,496		39,564		48,063		55,584		67,552		69,680		68,743		63,843		58,334
U. Memphis	68,505		56,686		57,264		56,075		54,970		49,517		48,321		51,194		48,141		55,566
U. Montana, Missoula	55,795		53,333		56,119		58,557		59,791		63,540		60,159		59,313		60,189		55,032
Wright State U.	40,409		47,749		49,798		47,803		48,215		48,575		48,501		46,213		50,489		54,985
Portland State U.	29,371		32,308		30,203		35,705		44,574		56,533		58,975		58,489		55,435		54,787
U. Alabama, Tuscaloosa	34,770		35,642		36,807		33,477		36,889		40,762		53,633		55,885		55,443		53,140
CUNY, City C.	29,826		31,071		33,712		35,096		37,538		46,699		60,648		57,982		55,138		52,654
U. Southern Mississippi	38,766		40,845		48,595		47,582		47,205		42,059		46,591		60,079		51,962		51,938
U. Wyoming	83,742		89,707		80,041		76,711		79,684		55,319		57,549		65,611		65,490		51,422
U. Maryland, Center for Environmental Science	41,022		40,146		40,720		40,556		41,670		42,670		50,007		48,224		53,683		50,814
Loyola U., Chicago	41,876		38,611		35,420		35,307		36,519		43,903		42,708		45,903		51,676		50,774
U. California, Office of the President	97,245		128,992		119,109		100,189		83,108		72,542		63,420		65,627		67,447		50,103
Boston C.	33,732		38,309		41,710		44,413		45,795		50,537		52,253		51,442		50,702		49,724
New Mexico Institute of Mining and Technology	56,134	i	73,792		83,742		79,437		81,742		51,696		43,857		37,875		32,499		48,338
U. Texas, San Antonio	23,606		32,317		32,321		34,601		46,521		56,279		58,667		57,233		53,626		47,061
U. North Texas, Health Science Center	22,325		25,124		28,187		28,179		29,582		38,862		45,943		46,865		44,904		47,002
Florida A&M U.	28,506		36,824		17,695		25,515		27,018		53,474		53,326		52,263		51,149		46,367
Louisiana State U., Health Sciences Center – New Orleans	93,595		79,927		91,498		60,007		59,111		59,776		57,007		53,712		49,443		45,486
U.S. Air Force Academy	30,115		10,547		16,345		45,445		50,452		62,097		73,607		56,044		57,164		44,663
Saint Louis U.	47,356		48,248		56,921		59,236		38,075		46,839		53,179		49,086		48,231		44,481
U. North Texas, Denton	16,799		18,285		15,981		18,066		24,120		31,496		42,475		46,943		49,518		44,180
Eastern Virginia Medical School	33,721		33,013		31,453		30,777		36,678		44,420		36,569		37,745		44,183		43,917
San Jose State U.	48,624		49,267		47,256		52,408		55,213		38,241		40,149		34,727		38,326		43,509
Morehouse School of Medicine	30,652		28,378		27,886		27,077		27,392		30,669	i	33,946		37,586		36,638		41,858
U. South Alabama	19,431		19,729		26,181		29,895		32,882		35,500		42,233		40,172		40,590		41,681
Howard U.	41,913		36,817		38,583		38,010		34,714		40,080		42,341		45,486		42,789		40,771
U. Puerto Rico, Medical Sciences Campus	35,809		38,424		38,863		35,570		41,668		39,134		64,017		45,649		43,374		40,444
U. Nevada, Las Vegas	49,564		58,618		57,768		53,320		41,652		44,457		39,526		34,543		35,935		39,448
Texas State U.	8,896		9,496		10,320		19,309		24,497		30,560		33,487		36,664		37,053		39,265
Missouri U. of Science and Technology	40,832		39,274		31,168		36,533		35,672		42,263		41,581		38,588		40,397		39,065
CUNY, Hunter C.	37,075		36,039		31,023		34,644		37,349		38,900		39,772		41,022		40,059		38,879
Brigham Young U., Provo	26,990		30,013		29,635		28,988		29,901		32,997		37,142		33,843		36,562		38,051
Texas Tech U., Health Sciences Center	18,697		22,013		21,006		24,716		37,363		51,282		58,774		61,219		61,412		38,015
Lehigh U.	38,886		35,046		38,307		38,190		34,352		37,332		32,086		31,992		35,220		37,066
Rochester Institute of Technology	24,309		24,703		24,106		27,025		33,393		38,663		34,889		36,935		36,613		35,945
North Carolina Agricultural and Technical State U.	22,993		23,948		24,138		29,036		28,615		35,297		34,930		35,103		33,994		35,047
SUNY, Upstate Medical U.	34,931		37,181		39,699		36,359		33,194		43,824		39,988		35,897		34,286		33,460
SUNY, Health Science Center Brooklyn	29,732		31,064		29,809		32,299		29,184		32,512		41,993		43,257		39,354		33,331
Alabama A&M U.	16,075		14,431		13,672		8,959		14,752		30,497		32,063	i	32,312	i	32,937	i	32,907
Southern Methodist U.	14,439		15,823		16,985		22,902		16,741		18,742		24,453		24,397		22,544		32,401
Northern Arizona U.	23,047		27,892		27,030		26,160		26,723		28,803		30,785		28,100		30,516		31,590
Illinois Institute of Technology	28,081		24,654		26,740		25,289		25,709		36,554		44,463		32,576		36,722		31,356
Stevens Institute of Technology	31,059		33,600		34,383		30,493		28,660		35,544		41,622		31,929		28,908		30,826
U. South Dakota	18,919		22,892		21,473		22,742		34,690		30,616		28,959		31,982		33,187		30,700
Mercer U.	20,042		19,622		18,163		19,739		21,974		27,298		29,039		31,376		28,892		30,209
Worcester Polytechnic Institute	14,736		15,345		14,308		15,887		15,645		18,613		22,137		20,232		25,298		29,929
East Carolina U.	14,563		14,539		16,372		16,880		24,922		23,995		28,114		31,990		38,271		29,925
San Francisco State U.	24,008		28,307		27,244		21,382		25,323		25,615		26,198		30,291		33,885		29,457
U. Missouri, Kansas City	34,282		27,572		30,944		28,892		28,657		30,163		32,769		29,227		28,829		29,164
U. Puerto Rico, Rio Piedras	21,432		22,623		22,345		35,665		31,592		30,515		32,582		33,099		29,234		28,793
U. Massachusetts, Dartmouth	21,133		20,389		20,120		20,925		20,669		25,725		25,644		22,732		27,326		28,219
Rutgers, State U. New Jersey, Newark	NA		NA		NA		NA		NA		27,745		35,774		34,797		37,134		28,083
U. Tulsa	13,640		13,209		16,218		15,576		13,769		23,387		19,489		20,270		21,757		27,077
Jackson State U.	35,876		38,273		36,888		42,739		44,884		44,862		49,998		46,943		36,264		26,609
Boise State U.	9,168		8,997		11,520		11,592		12,305		18,731		24,204		27,920		25,690		26,568
Kent State U.	15,157		16,506		22,201		26,168		27,275		26,331		27,455		26,507		23,149		25,666
Creighton U.	27,022		25,615		28,374		26,872		27,104		27,700		31,443		32,594		29,983		25,560
Louisiana State U., Medical Center, Shreveport	NA		NA		NA		33,458		31,293		30,817		31,021		29,365		28,266		25,004
Tuskegee U.	12,168		12,982		15,905		16,606		18,543		15,581		15,685		15,991		21,150		24,945
U. California, Merced	4,468		7,931		11,600		17,403		22,013		21,591		21,328		22,656		22,909		23,916
Air Force Institute of Technology	15,091		19,394		17,173		20,527		27,458		31,259		31,879		32,746		27,592		23,902
Desert Research Institute	34,570		38,511		40,238		38,045		36,490		34,367		35,331		33,056		27,695		23,778
Marquette U.	10,616		11,051		9,917		10,602		10,470		14,310		19,876		18,606		20,856		23,633
CUNY, Queens C.	7,628		7,462		9,840		11,989		13,115		16,845		23,219		22,399		19,762		23,434
Loma Linda U.	29,898		32,451		28,020		35,890		37,557		35,990		39,409		31,772		31,715		23,375
U. North Carolina, Charlotte	20,307		22,656		26,974		25,196		29,272		31,814		27,533		25,141		24,764		23,342
Texas Tech U., Health Sciences Center, El Paso	ne		ne		ne		ne		ne		ne		ne		ne		ne		23,282
Florida Atlantic U.	27,797		30,393		46,055		49,410		56,127		56,472		62,024		65,377		23,967		22,997
Louisiana Tech U.	18,612		18,095		17,190		22,768		21,458		26,020		27,583		26,546		24,949		22,942
Catholic U. of America	22,754		18,412		20,484		20,767		20,400		21,454		25,397		24,971		23,235		22,331
U. Minnesota, Duluth	NA		NA		NA		NA		NA		21,150		23,400		21,530		21,383		21,904
Texas A&M U.-Kingsville	13,888		13,785		14,381		14,495		16,217		17,378		17,114		17,419		18,653		21,819
Texas A&M U.-Corpus Christi	10,925		12,827		13,178		12,289		13,858		17,266		17,509		15,776		17,418		21,321
Miami U.	18,026		19,229		23,729		25,052		29,808		26,521		26,093		26,311		23,924		21,216
Baylor U.	8,415		8,105		10,794		12,655		14,035		10,925		12,343		10,161		13,616		20,729
U. North Carolina, Greensboro	16,016		13,724		13,574		16,451		19,811		22,436		26,121		19,080		16,590		20,723
Charles R. Drew U. of Medicine and Science	43,231		47,188		52,118		49,224		57,604		22,152		22,150		20,580		18,547		20,686
U. New Orleans	35,061		26,520		28,972		27,917		30,801		35,021		35,359		28,450		24,607		20,614
